population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


618122a62a(15) 5961212805(16) 6447852a64(16) 8588855763(17) 3678498018(17) 4353996549(18) 53715041a8(18) 2247965354(19) 0520146799(19) 3935462643(19) 
6557766248(15) 6557766248(15) 6432266248(17) 9432266298(18) 9432266298(18) 9432266298(18) 9432266298(18) 6557764348(19) 6557764348(19) 6557764348(19) 
6557764398(13) 6557764398(13) 6557764398(13) 9452266348(15) 9432266298(15) 9432266298(15) 9432266298(15) 6557264348(17) 6557264348(17) 6557264348(17) 
6432266344(15) 6537766348(15) 6557766248(17) 6557766248(17) 6557766248(17) 6552264348(17) 6552264348(17) 6537764348(17) 6552264348(17) 6552264348(17) 
6457264348(16) 6252264342(17) 6252264342(17) 9557764398(18) 9557764398(18) 6557766248(19) 6557766248(19) 6557764398(19) 6557764398(19) 6557764398(19) 
6552264398(12) 6557764344(17) 6557764344(17) 6557766348(17) 6432264344(17) 6557766348(17) 6432264344(17) 6557766348(17) 6557264348(17) 6557264348(17) 
6552764344(11) 6552764344(11) 9557266392(13) 6432264348(15) 6432264348(15) 6432264348(15) 6457264342(15) 6457264342(15) 6457264342(15) 6457264342(15) 
6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 6557764344(16) 
6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 6457264348(15) 
6552764344(17) 6457764344(18) 6457764344(18) 6457764344(18) 6457764342(19) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 
6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 
6557764342(19) 6557764342(19) 6557764342(19) 6557764348(19) 6557764348(19) 6558264349(19) 6558264349(19) 6558264349(19) 6457764344(20) 6457764344(20) 
6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 6457764344(18) 
6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 6557764344(13) 
6557764342(19) 6457764349(20) 6457764349(20) 6458764344(21) 6457764342(21) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 
6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 
6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 6457764344(17) 
6557764044(16) 6557764044(16) 6557764044(16) 6557764044(16) 6458764344(18) 6557764349(18) 6557764349(18) 6557764349(18) 6557764344(19) 6557764344(19) 
6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 6557764344(19) 
6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 6557764344(14) 
6457764344(19) 6557764349(21) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 6557764344(22) 
6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 6557764344(18) 
6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 6557764344(21) 
6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 
6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 6557764344(20) 
