population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


618122a62a(15) 5961212805(16) 6447852a64(16) 8588855763(17) 3678498018(17) 4353996549(18) 53715041a8(18) 2247965354(19) 0520146799(19) 3935462643(19) 
7254566349(16) 7204536349(16) 7204536349(16) 7644566349(17) 7644566349(17) 7644566349(17) 7644566349(17) 7644566349(17) 7644566349(17) 7644566349(17) 
7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 
7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 
7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 7754546349(16) 
7754543349(16) 7753546349(19) 7753546349(19) 7753546349(19) 7753546349(19) 7754546349(20) 7754546349(20) 7754546349(20) 7754546349(20) 7754546349(20) 
7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 
7753546349(15) 7753546349(15) 7753546349(15) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 7754546349(17) 
7754546339(21) 2953546348(21) 7455266333(22) 7754566339(22) 7754546349(22) 7754546349(22) 7754546349(22) 7754546349(22) 7754546349(22) 7754546349(22) 
7455266349(14) 7455266349(14) 7455266343(16) 7454546349(17) 7454546349(17) 7454546349(17) 7454546349(17) 7454546349(17) 7455266339(18) 7455266339(18) 
7954566349(18) 7454546339(18) 7454546339(18) 7454546339(18) 7454546339(18) 7454546339(18) 7454546339(18) 7454546339(18) 7454546339(18) 7954546339(18) 
7955266349(11) 7458066349(13) 7754546333(15) 7954546339(15) 7954546339(15) 7954546339(15) 7954546339(15) 7954546339(15) 7954546339(15) 7954546339(15) 
7454566339(18) 7454566339(18) 7454566339(18) 7454566339(18) 7455546349(20) 7954546339(20) 7954546339(20) 7954546339(20) 7954546339(20) 7954546339(20) 
7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 7954546333(16) 
7454563379(16) 7455546339(18) 7455546339(18) 7455566339(19) 7455566339(19) 7454546339(19) 7454546339(19) 7454546339(19) 7454546339(19) 7454546339(19) 
7454546333(17) 7454546333(17) 7454546333(17) 7454546339(17) 7454546339(17) 7454546339(17) 7454546339(17) 7454546339(17) 7454546339(17) 7454546339(17) 
7954546333(18) 7954546333(18) 7954546333(18) 7954546333(18) 7954546339(18) 7954546339(18) 7455546339(19) 7455546339(19) 7455546339(19) 7455546339(19) 
7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 
7455566339(17) 7454549333(17) 7955586359(18) 7954546339(19) 7954546339(19) 7954546339(19) 7954546339(19) 7954546339(19) 7954546339(19) 7954546339(19) 
7455546333(18) 7455546333(18) 7455566359(18) 7955586359(18) 7955546333(19) 7455566339(20) 7455566339(20) 7455566339(20) 7455566339(20) 7455566339(20) 
7454546339(14) 7454546339(14) 7454546339(14) 7454546339(14) 7454546339(14) 7955546333(16) 7955546333(16) 7955546333(16) 7454546359(17) 7955546359(18) 
7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 7455546333(13) 
7955546339(15) 7955546339(15) 7955546339(15) 7955546339(15) 7955546339(15) 7454546333(16) 7454546333(16) 7454546333(16) 7955546353(16) 7955546330(17) 
7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546339(18) 7455546335(20) 7455546333(21) 7455546333(21) 7455546333(21) 7455546333(21) 
7454546333(17) 7955546330(18) 7955546330(18) 7955546330(18) 7955546330(18) 7955546330(18) 7955546330(18) 7955546330(18) 7955546330(18) 7955546330(18) 
7454546333(18) 7955546333(18) 7955546330(19) 7955546330(19) 7955546330(19) 7955546330(19) 7955546330(19) 7955546330(19) 7955546330(19) 7955546330(19) 
3929546330(17) 8955546330(18) 8955546330(18) 8955546330(18) 8955546330(18) 8955546330(18) 8955546330(18) 8955546330(18) 8955546330(18) 7455546330(19) 
7454546333(16) 7454546333(16) 7955546333(18) 7955546333(18) 7955546333(18) 7955546333(18) 7455546330(19) 7455546330(19) 7455546330(19) 7455546330(19) 
7454546333(18) 7454546333(18) 7454546333(18) 7454546333(18) 7454546333(18) 7454546333(18) 7454546333(18) 7454546333(18) 7454546333(18) 7455546333(19) 
7955843390(18) 7955843390(18) 7955843390(18) 7955546333(20) 7955546333(20) 7955546333(20) 7955546333(20) 7955546333(20) 7955546333(20) 7955546333(20) 
7455546333(17) 7455546333(17) 7455546333(17) 7455546333(17) 7455546333(17) 7455546333(17) 7457546333(18) 7457546333(18) 7654546333(19) 7654546333(19) 
7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 7455546333(16) 
7455546330(16) 7455546330(16) 7655546333(18) 7655546333(18) 7655546333(18) 7655546333(18) 7654546333(18) 7654546333(18) 7654546333(18) 7654546333(18) 
7455543390(17) 7457546333(18) 7457546333(18) 7457546333(18) 7654546330(20) 7654546330(20) 7654546330(20) 7654546330(20) 7654546330(20) 7654546330(20) 
7657546333(16) 7455546333(18) 7455546333(18) 7455546333(18) 7455546333(18) 7455546333(18) 7455546333(18) 7455546333(18) 7455546333(18) 7455546333(18) 
7455546390(18) 7455546390(18) 7455546390(18) 7455546390(18) 7455546390(18) 7455546390(18) 7655546333(19) 7655546333(19) 7655546333(19) 7655546333(19) 
dna : bs = 194780 : 675739 = 22.38% : 77.62%
average count by dna : 22.03
average count by binary search : 19.95
