population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


0174085469(16) 6379288357(16) 64a9223442(16) a305591a12(16) 2611685886(17) 3554a58729(17) 695667936a(18) a950245919(18) 3a61269496(18) 3229759144(19) 
5654667856(14) 5654667856(14) 5654667856(14) 5654667856(14) 5654667856(14) 5654667856(14) 5654667856(14) 5654667856(14) 5651667846(15) 5354667856(18) 
5351667856(12) 5351667856(12) 5351667857(17) 5351667857(17) 5351667857(17) 5351667857(17) 5351667857(17) 5351667857(17) 5351667857(17) 5354667857(18) 
5654667846(15) 5654667846(15) 5654667846(15) 5654667846(15) 5651667857(18) 5654664206(19) 5651667856(19) 5654667847(21) 5654667856(22) 5654667856(22) 
5654664256(16) 5654664256(16) 5654664256(16) 5654664256(16) 5654664256(16) 5654664256(16) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 
5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 5654667256(15) 
5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 5654667856(17) 
5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5354667256(18) 5654667256(19) 5654667256(19) 5654667256(19) 5654667256(19) 
5354667256(14) 5354667256(14) 5354667256(14) 5354667256(14) 5354667256(14) 5354667256(14) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 
5654664856(19) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 5654664256(20) 
5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 5654664256(17) 
5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 5654664256(19) 
5652564956(16) 5654667256(20) 5654667256(20) 5654667256(20) 5654667256(20) 5654664856(21) 5654664256(23) 5654664256(23) 5654664256(23) 5654664256(23) 
5654667856(14) 5654667856(14) 5654667856(14) 5652664256(19) 5652664256(19) 5652664256(19) 5652664256(19) 5652664256(19) 5652664256(19) 5652664256(19) 
5652664956(16) 5652664956(16) 5652667956(18) 5652667956(18) 5652667956(18) 5652667956(18) 5652664856(19) 5652664856(19) 5652664856(19) 5652664856(19) 
5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654664856(18) 
5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 5652664856(17) 
5652667856(15) 5652667856(15) 2754667856(16) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 
4652664856(17) 4652664856(17) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 
4654664856(14) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 5654667856(18) 
2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 2654667856(18) 
4654664856(16) 4654664856(16) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 
5654667856(20) 5654667856(20) 5654667856(20) 5654667856(20) 5654667856(20) 5654667856(20) 5654667856(20) 5654667856(20) 5654667856(20) 4654667856(20) 
2654667856(16) 2654667856(16) 2654667856(16) 2654667856(16) 2654667856(16) 2654667856(16) 2654667856(16) 4654667857(17) 4654667857(17) 5683667657(17) 
4653667656(16) 5653667857(18) 5653667857(18) 5653667857(18) 4683667856(18) 4683667856(18) 4683667856(18) 4683667856(18) 4654667856(19) 4654667856(19) 
2654667656(15) 2654667657(15) 4654667857(16) 4654667857(16) 4654667857(16) 4654667857(16) 4654667857(16) 4654667857(16) 4654667857(16) 4654667857(16) 
4684667857(15) 4653667857(16) 4653667656(18) 5654667857(18) 5654667857(18) 5654667857(18) 5654667857(18) 4653667656(18) 5654667857(18) 5654667857(18) 
5654667657(16) 4654667657(17) 4654667657(17) 4654667657(17) 4654667657(17) 4654667657(17) 4654667657(17) 5654667656(18) 5654667656(18) 4653667857(18) 
4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 4654667857(14) 
4654667656(16) 4654667656(16) 4654667656(16) 4654667656(16) 4654667656(16) 4654667656(16) 4684667857(18) 4684667857(18) 4654667856(19) 4654667856(19) 
4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 4654667656(19) 
4654667695(17) 4654667695(17) 4654667695(17) 4654667695(17) 4654667695(17) 4654667856(18) 4654667856(18) 4654667856(18) 4654667856(18) 4654667856(18) 
4654667857(14) 4654667857(14) 4684667553(16) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 
4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 
4654667695(17) 4654667895(18) 4654667656(19) 4654667855(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 4654667856(20) 
46856677a6(17) 4654667695(20) 4654667695(20) 4654667655(21) 4654667656(21) 4654667656(21) 4654667856(21) 4654667856(21) 4654667856(21) 4654667856(21) 
4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 4654667855(16) 
46546678a6(14) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 4654667856(19) 
4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 4654667855(14) 
4654357856(21) 4654357456(21) 4654357456(21) 4654357456(21) 4654357856(21) 4654357856(21) 4654357856(21) 4654357856(21) 46546678a6(21) 46546678a6(21) 
4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 4654667855(12) 
46543678a6(16) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 
4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 4654667856(17) 
4654665856(18) 4654665866(19) 4654367856(20) 4654367856(20) 4654367856(20) 4654367856(20) 4654667855(21) 4654667855(21) 4654667855(21) 4654667855(21) 
4654665856(16) 4654665856(16) 4a54367855(16) 4654665866(17) 4654665866(17) 4654665866(17) 4654665866(17) 4654667a55(17) 4654667855(18) 4654667855(18) 
