population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


0174085469(16) 6379288357(16) 64a9223442(16) a305591a12(16) 2611685886(17) 3554a58729(17) 695667936a(18) a950245919(18) 3a61269496(18) 3229759144(19) 
4656665756(17) 4656665756(17) 4656666718(18) 4656666718(18) 4656666718(18) 4656666718(18) 4656666718(18) 4656666718(18) 4656666718(18) 4656666718(18) 
3656666668(20) 3656666668(20) 3656666668(20) 3656666668(20) 3656666768(20) 3656666768(20) 3656666768(20) 3656666768(20) 3656666768(20) 3656666768(20) 
4656665766(15) 4656666758(15) 4656666758(15) 4656666756(17) 4656665718(17) 4656665718(17) 4656665718(17) 4656665718(17) 4656665718(17) 4656666768(18) 
4656666768(16) 4656666768(16) 4656666768(16) 4656666768(16) 4656666768(16) 4656666768(16) 4656666768(16) 4656665766(17) 4656665766(17) 4656665713(17) 
4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 4656665768(14) 
4696640761(15) 4656666718(16) 4656666718(16) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 
4696640761(18) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 
4656666768(18) 4656666768(18) 4656666768(18) 4656666768(18) 4656665768(18) 4656665768(18) 4656665768(18) 4656665768(18) 4656665768(18) 4656665768(18) 
4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 4656666768(17) 
4156666768(18) 4651565768(18) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 4656665766(20) 4656665766(20) 
4056665768(17) 5656666766(18) 5656666766(18) 5656666766(18) 5656666766(18) 5656666766(18) 5656666766(18) 5656666766(18) 5656666766(18) 5656666766(18) 
5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 5656666768(19) 
5656666066(18) 5656666066(18) 4656666766(19) 4656666766(19) 4656666766(19) 4656666766(19) 5656665766(19) 5656665766(19) 5656665766(19) 5656663066(19) 
4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 4656665766(16) 
4256665766(17) 4256666766(18) 5656665766(19) 5656665766(19) 5656665766(19) 5656665766(19) 5656665766(19) 5656665766(19) 5656665766(19) 5656665766(19) 
5256665766(18) 5256665766(18) 4656663766(18) 4656663766(18) 5256666766(19) 4256665766(19) 4256665766(19) 4256665766(19) 4256666766(20) 4256666766(20) 
4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 4656665766(15) 
4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 4256665766(13) 
4656666766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 
4458665798(16) 4458665798(16) 4458665798(16) 4458665798(16) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 4656665766(17) 
4658665766(17) 4658665766(17) 4658665766(17) 4456665798(18) 4456665796(19) 4456665796(19) 4456665796(19) 4456665796(19) 4456665796(19) 4456665796(19) 
4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 
4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4656665766(19) 4456665796(19) 4456665796(19) 
4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 4456665796(17) 
4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 4456665796(18) 
4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4656665766(21) 4656665766(21) 4656665766(21) 4456665796(21) 4456665796(21) 
4656665766(18) 4656665766(18) 4656665766(18) 4656665766(18) 4656665766(18) 4656665766(18) 4656665766(18) 4656665766(18) 4456665796(18) 4456665796(18) 
3656665765(15) 3656665766(17) 3656665766(17) 3656665766(17) 1656665924(18) 4456665766(19) 4456665766(19) 4456665766(19) 4456665766(19) 4456665766(19) 
4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 
4456665796(17) 1656665766(17) 1656665766(17) 1656665766(17) 1656665766(17) 1656665766(17) 1656665766(17) 1656665766(17) 3456665726(17) 4656665796(18) 
1456665766(13) 1456665766(13) 1456665766(13) 1456665766(13) 1456665766(13) 1456665726(14) 1456665726(14) 1456665726(14) 1456665726(14) 1456665726(14) 
4656665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 1456665766(16) 
1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 1456665726(16) 
4456665766(19) 4456665766(19) 4456665766(19) 1456665766(20) 1456665766(20) 1456665766(20) 1456665766(20) 1456665766(20) 1456665766(20) 1456665766(20) 
4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 4456665766(17) 
4456665726(20) 4456665726(20) 4456665726(20) 4456665766(22) 4456665766(22) 4456665766(22) 4456665766(22) 4456665766(22) 4456665766(22) 4456665766(22) 
4456665726(17) 4456665726(17) 4456665726(17) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 
4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 4456665766(21) 
dna : bs = 449427 : 319096 = 58.48% : 41.52%
average count by dna : 19.51
average count by binary search : 19.95
